Word,Form,Rank
様,さま,441
下,した,442
今回,こんかい,443
とても,とても,444
始まる,はじまる,445
まず,まず,446
ゆっくり,ゆっくり,447
ふん,ふん,448
幸せ,しあわせ,449
近く,ちかく,450
せっかく,せっかく,451
て,て,452
確かに,たしかに,453
安心,あんしん,454
勝手に,かってに,455
そっち,そっち,456
立つ,たつ,457
場合,ばあい,458
たくさん,たくさん,459
ぐらい,ぐらい,460
変える,かえる,461
落ち着く,おちつく,462
一人,ひとり,463
負ける,まける,464
よろしく,よろしく,465
いっぱい,いっぱい,466
優しい,やさしい,467
結局,けっきょく,468
任せる,まかせる,469
そのまま,そのまま,470
いただく,いただく,471
読む,よむ,472
道,みち,473
ひどい,ひどい,474
それも,それも,475
そりゃ,そりゃ,476
わね,わね,477
なかなか,なかなか,478
見つかる,みつかる,479
あそこ,あそこ,480
危ない,あぶない,481
朝,あさ,482
まるで,まるで,483
そうする,そうする,484
気がする,きがする,485
上がる,あがる,486
ことができる,ことができる,487
しかも,しかも,488
さすが,さすが,489
渡す,わたす,490
別,べつ,491
やがる,やがる,492
とする,とする,493
準備,じゅんび,494
いつか,いつか,495
存在,そんざい,496
やっと,やっと,497
連絡,れんらく,499
捨てる,すてる,500
似る,にる,501
子供,こども,502
終わり,おわり,503
いくら,いくら,504
本,ほん,505
隠す,かくす,506
一緒,いっしょ,507
邪魔,じゃま,508
友達,ともだち,509
でもない,でもない,510
すみません,すみません,511
はずだ,はずだ,512
おる,おる,513
足,あし,514
ことはない,ことはない,515
しばらく,しばらく,516
どっち,どっち,517
もしかして,もしかして,518
かわいい,かわいい,519
俺たち,おれたち,520
所,ところ,521
分,ぶん,522
用,よう,523
驚く,おどろく,524
２人,ふたり,525
何の,なんの,526
面白い,おもしろい,527
走る,はしる,528
勝つ,かつ,529
確認,かくにん,530
あら,あら,531
家族,かぞく,532
座る,すわる,533
思える,おもえる,534
説明,せつめい,535
働く,はたらく,536
助かる,たすかる,537
そうです,そうです,538
用意,ようい,539
あまり,あまり,540
生まれる,うまれる,541
失礼,しつれい,542
向こう,むこう,543
わけじゃない,わけじゃない,544
うわっ,うわっ,545
遊ぶ,あそぶ,546
何で,なんで,547
状況,じょうきょう,548
十分,じゅうぶん,549
手伝う,てつだう,550
もう一度,もういちど,551
一,いち,552
娘,むすめ,553
難しい,むずかしい,554
様子,ようす,555
どうせ,どうせ,556
そういえば,そういえば,557
あの人,あのひと,558
食う,くう,559
あんまり,あんまり,560
残す,のこす,561
うっ,うっ,562
喜ぶ,よろこぶ,563
毎日,まいにち,564
止まる,とまる,566
どうしても,どうしても,567
さえ,さえ,568
フッ,フッ,569
仲間,なかま,570
じゃねえ,じゃねえ,571
これ以上,これいじょう,572
命,いのち,573
水,みず,574
いろいろ,いろいろ,575
うるさい,うるさい,576
若い,わかい,577
すぎる,すぎる,578
調べる,しらべる,579
となる,となる,580
認める,みとめる,581
人生,じんせい,582
元,もと,583
まったく,まったく,584
それで,それで,585
一体,いったい,586
とる,とる,587
答える,こたえる,588
あの子,あのこ,589
いやいや,いやいや,590
本気,ほんき,591
全員,ぜんいん,592
お母さん,おかあさん,593
何度,なんど,594
でもある,でもある,595
女の子,おんなのこ,596
わけない,わけない,597
皆さん,みなさん,598
特に,とくに,599
おかげで,おかげで,600
当然,とうぜん,601
完全,かんぜん,602
関係ない,かんけいない,603
休む,やすむ,605
かどうか,かどうか,606
いきなり,いきなり,607
突然,とつぜん,608
ばっかり,ばっかり,609
女性,じょせい,610
物,もの,611
大切,たいせつ,612
嫌い,きらい,613
済む,すむ,614
あげる,あげる,615
後,あと,616
恥ずかしい,はずかしい,617
住む,すむ,618
やはり,やはり,619
起こす,おこす,620
諦める,あきらめる,621
おいしい,おいしい,622
小さい,ちいさい,623
正直,しょうじき,624
なので,なので,625
わざわざ,わざわざ,626
進む,すすむ,627
楽しむ,たのしむ,628
お父さん,おとうさん,629
そっか,そっか,630
最高,さいこう,631
こうする,こうする,632
ありがとうございました,ありがとうございました,633
謝る,あやまる,634
胸,むね,635
忙しい,いそがしい,636
近い,ちかい,637
結果,けっか,638
じゃん,じゃん,639
過ぎる,すぎる,640
届く,とどく,641
かなり,かなり,642
切る,きる,643
おっ,おっ,644
さて,さて,645
んっ,んっ,646
店,みせ,647
学校,がっこう,648
まずは,まずは,649
事,こと,650
当たる,あたる,651
情報,じょうほう,652
とりあえず,とりあえず,653
冗談,じょうだん,654
無事,ぶじ,655
方法,ほうほう,657
いらっしゃる,いらっしゃる,658
電話,でんわ,659
持ってくる,もってくる,660
残念,ざんねん,661
わあ,わあ,662
この人,このひと,663
後,ご,664
なし,なし,665
大好き,だいすき,666
くせに,くせに,667
失う,うしなう,668
いたす,いたす,669
現れる,あらわれる,670
状態,じょうたい,671
はっ,はっ,672
親,おや,673
ううん,ううん,674
特別,とくべつ,675
急ぐ,いそぐ,676
自分で,じぶんで,677
気分,きぶん,678
うわ,うわ,679
としても,としても,680
腕,うで,681
不思議,ふしぎ,682
可能性,かのうせい,683
足りる,たりる,684
ようにする,ようにする,685
近づく,ちかづく,686
求める,もとめる,687
感謝,かんしゃ,688
くれる,くれる,689
形,かたち,690
どうしよう,どうしよう,691
っけ,っけ,692
お金,おかね,693
疲れる,つかれる,694
途中,とちゅう,695
えっと,えっと,696
だよね,だよね,697
集まる,あつまる,698
生活,せいかつ,699
なれる,なれる,700
当たり前,あたりまえ,701
深い,ふかい,702
気にする,きにする,703
着る,きる,704
理解,りかい,705
出会う,であう,706
二人,ふたり,707
そもそも,そもそも,708
与える,あたえる,709
回る,まわる,710
おく,おく,711
そうそう,そうそう,712
なに,なに,713
上げる,あげる,714
狙う,ねらう,715
珍しい,めずらしい,716
期待,きたい,717
なさる,なさる,718
相談,そうだん,719
全て,すべて,720
合う,あう,721
マジ,マジ,722
借りる,かりる,723
ことにする,ことにする,724
甘い,あまい,725
敵,てき,726
覚悟,かくご,727
一つ,ひとつ,728
周り,まわり,729
によって,によって,730
使える,つかえる,731
どれ,どれ,732
１人,ひとり,733
後ろ,うしろ,734
意外,いがい,735
久しぶり,ひさしぶり,736
知らない,しらない,737
ホント,ホント,738
取れる,とれる,739
目的,もくてき,740
というのは,というのは,741
へえ,へえ,742
頃,ころ,743
貸す,かす,745
いただきます,いただきます,746
ただいま,ただいま,747
失敗,しっぱい,748
人たち,ひとたち,749
けれど,けれど,750
方,かた,751
ほとんど,ほとんど,752
一応,いちおう,753
思い,おもい,754
歳,さい,755
勝手,かって,756
危険,きけん,757
落とす,おとす,758
金,かね,759
先輩,せんぱい,760
時代,じだい,761
余計,よけい,762
たまに,たまに,763
服,ふく,764
暮らす,くらす,765
起こる,おこる,766
あっち,あっち,767
どんどん,どんどん,768
目の前,めのまえ,769
写真,しゃしん,770
増える,ふえる,771
すむ,すむ,772
隣,となり,773
つい,つい,774
勉強,べんきょう,775
やっぱ,やっぱ,776
しれる,しれる,777
件,けん,778
二度と,にどと,779
まだまだ,まだまだ,780
想像,そうぞう,781
結婚,けっこん,782
不安,ふあん,783
ために,ために,784
瞬間,しゅんかん,785
救う,すくう,786
うれしい,うれしい,787
そうですね,そうですね,788
断る,ことわる,789
戦う,たたかう,790
奥,おく,791
自由,じゆう,792
大,だい,793
わかる,わかる,794
海,うみ,795
間違う,まちがう,796
追う,おう,797
変わった,かわった,798
的,てき,799
いいえ,いいえ,800
それとも,それとも,801
我慢,がまん,802
考え,かんがえ,803
もうすぐ,もうすぐ,804
通る,とおる,805
売る,うる,806
我々,われわれ,807
小さな,ちいさな,808
血,ち,809
相変わらず,あいかわらず,810
やってくる,やってくる,811
誰にも,だれにも,812
ようだ,ようだ,813
集める,あつめる,814
慣れる,なれる,815
ようです,ようです,816
飛ぶ,とぶ,817
紹介,しょうかい,818
くん,くん,819
気に入る,きにいる,820
触る,さわる,821
による,による,822
失礼します,しつれいします,823
代わり,かわり,824
引く,ひく,825
奪う,うばう,826
予定,よてい,827
名,な,828
愛する,あいする,829
行動,こうどう,830
そうだね,そうだね,831
熱い,あつい,832
運ぶ,はこぶ,833
着く,つく,834
誘う,さそう,835
行ける,いける,836
さっさと,さっさと,837
報告,ほうこく,838
詳しい,くわしい,839
自信,じしん,840
空,そら,841
弱い,よわい,842
たって,たって,843
迷惑,めいわく,844
車,くるま,845
協力,きょうりょく,846
未来,みらい,847
ございます,ございます,848
事件,じけん,849
いなくなる,いなくなる,850
軽い,かるい,851
おいおい,おいおい,852
ちょうど,ちょうど,853
一生,いっしょう,854
日本,にほん,855
ハッ,ハッ,856
記憶,きおく,857
光,ひかり,858
お前ら,おまえら,859
重い,おもい,860
倒れる,たおれる,861
すいません,すいません,862
いいよ,いいよ,863
以前,いぜん,864
お互い,おたがい,865
ら,ら,866
気づく,きづく,867
決して,けっして,868
本人,ほんにん,869
動き,うごき,870
なー,なー,871
それより,それより,872
そいつ,そいつ,873
興味,きょうみ,874
笑顔,えがお,875
何だ,なんだ,876
国,くに,877
離す,はなす,878
身,み,879
みせる,みせる,880
父,ちち,882
得る,える,883
立派,りっぱ,884
のせいで,のせいで,885
消す,けす,886
むしろ,むしろ,887
その後,そのあと,888
本物,ほんもの,889
向ける,むける,890
意識,いしき,891
いいから,いいから,892
過ごす,すごす,893
これまで,これまで,894
眠る,ねむる,895
それじゃ,それじゃ,896
良い,よい,897
色,いろ,898
事実,じじつ,899
望む,のぞむ,900
よろしくお願いします,よろしくおねがいします,901
ってのは,ってのは,902
返事,へんじ,903
どの,どの,904
触れる,ふれる,905
責任,せきにん,906
なんです,なんです,907
必死,ひっし,908
楽しみ,たのしみ,909
今夜,こんや,910
ありがと,ありがと,911
直接,ちょくせつ,912
冷たい,つめたい,913
なぁ,なぁ,914
おはよう,おはよう,915
そのため,そのため,916
気をつける,きをつける,917
絶対に,ぜったいに,918
まずい,まずい,919
空気,くうき,920
そしたら,そしたら,921
寂しい,さびしい,922
大人,おとな,923
ほうがいい,ほうがいい,924
一瞬,いっしゅん,925
程度,ていど,926
どちら,どちら,927
知り合い,しりあい,929
話をする,はなしをする,930
抜ける,ぬける,931
自身,じしん,932
過去,かこ,933
楽,らく,934
きれい,きれい,935
合わせる,あわせる,936
反応,はんのう,937
平気,へいき,938
似合う,にあう,939
山,やま,940
間違いない,まちがいない,941
秘密,ひみつ,942
料理,りょうり,943
間に合う,まにあう,944
受け取る,うけとる,945
打つ,うつ,946
美しい,うつくしい,947
どうやら,どうやら,948
お話,おはなし,949
んー,んー,950
食事,しょくじ,951
払う,はらう,952
厳しい,きびしい,953
少ない,すくない,954
母,はは,955
たとえ,たとえ,956
正しい,ただしい,957
やだ,やだ,958
なんと,なんと,959
せめて,せめて,960
事情,じじょう,961
彼ら,かれら,962
しょうがない,しょうがない,963
どうも,どうも,964
さすがに,さすがに,965
風,かぜ,966
たった,たった,967
立てる,たてる,968
ついに,ついに,969
暇,ひま,970
側,がわ,971
素直,すなお,972
裏,うら,973
こんにちは,こんにちは,974
すべて,すべて,975
お礼,おれい,976
ちょ,ちょ,977
ようやく,ようやく,978
円,えん,979
すら,すら,980
番,ばん,981
苦しい,くるしい,982
納得,なっとく,983
よろしい,よろしい,984
実際,じっさい,985
愛,あい,987
こら,こら,988
遠く,とおく,989
成功,せいこう,990
はっきり,はっきり,991
時,じ,992
前に,まえに,993
いただける,いただける,994
他人,たにん,995
隠れる,かくれる,996
利用,りよう,997
人,にん,998
流れる,ながれる,999
てる,てる,1000
切れる,きれる,1001
遅れる,おくれる,1002
答え,こたえ,1003
目指す,めざす,1004
おかげ,おかげ,1005
原因,げんいん,1006
描く,えがく,1007
ひとつ,ひとつ,1008
調子,ちょうし,1009
手に入れる,てにいれる,1010
後悔,こうかい,1011
悲しい,かなしい,1012
味,あじ,1013
勝負,しょうぶ,1014
別れる,わかれる,1015
客,きゃく,1016
証拠,しょうこ,1017
はぁ,はぁ,1018
押す,おす,1019
首,くび,1020
それにしても,それにしても,1021
希望,きぼう,1022
と言った,といった,1023
外す,はずす,1024
すっかり,すっかり,1025
母親,ははおや,1026
現実,げんじつ,1027
迷う,まよう,1028
死,し,1029
になると,になると,1030
点,てん,1031
それぞれ,それぞれ,1032
そうね,そうね,1033
遠い,とおい,1034
下がる,さがる,1035
面倒,めんどう,1036
妙,みょう,1037
っていうか,っていうか,1038
それなら,それなら,1039
苦手,にがて,1040
待たせる,またせる,1041
そば,そば,1042
襲う,おそう,1043
緊張,きんちょう,1044
んな,んな,1045
っていう,っていう,1046
質問,しつもん,1047
捜す,さがす,1048
出来る,できる,1049
余裕,よゆう,1050
もしもし,もしもし,1051
妹,いもうと,1052
動かす,うごかす,1053
つらい,つらい,1054
格好,かっこう,1055
対して,たいして,1056
経験,けいけん,1057
今すぐ,いますぐ,1058
赤い,あかい,1059
花,はな,1060
その人,そのひと,1061
暗い,くらい,1062
バレる,バレる,1063
対する,たいする,1064
進める,すすめる,1065
もういい,もういい,1066
判断,はんだん,1067
ってことは,ってことは,1068
へー,へー,1069
指,ゆび,1070
偶然,ぐうぜん,1071
出てくる,でてくる,1072
壁,かべ,1073
申す,もうす,1074
連中,れんちゅう,1075
場,ば,1076
広い,ひろい,1077
背中,せなか,1078
もしかしたら,もしかしたら,1079
やすい,やすい,1080
逆に,ぎゃくに,1081
なんだか,なんだか,1082
とんでもない,とんでもない,1083
半分,はんぶん,1084
通す,とおす,1085
現在,げんざい,1086
抱く,いだく,1087
いやー,いやー,1088
勘違い,かんちがい,1089
無駄,むだ,1090
髪,かみ,1091
街,まち,1092
それと,それと,1093
いろんな,いろんな,1094
頼る,たよる,1095
伝わる,つたわる,1096
扱う,あつかう,1097
父親,ちちおや,1098
向う,むかう,1099
腹,はら,1100
今から,いまから,1101
ものがある,ものがある,1102
悩む,なやむ,1103
流す,ながす,1104
耐える,たえる,1105
間違い,まちがい,1106
傷,きず,1107
自然,しぜん,1108
１つ,ひとつ,1109
ドア,ドア,1110
感情,かんじょう,1111
３人,さんにん,1112
皆,みな,1113
この前,このまえ,1114
立場,たちば,1115
全く,まったく,1116
降りる,おりる,1117
迎える,むかえる,1118
何もない,なにもない,1119
今後,こんご,1120
寄る,よる,1121
病院,びょういん,1122
どうでもいい,どうでもいい,1123
避ける,さける,1124
チャンス,チャンス,1125
っす,っす,1126
超,ちょう,1127
間違える,まちがえる,1128
古い,ふるい,1129
かもしれません,かもしれません,1130
ということは,ということは,1131
でよ,でよ,1132
みる,みる,1133
苦労,くろう,1134
応援,おうえん,1135
息子,むすこ,1136
参加,さんか,1137
本日,ほんじつ,1138
席,せき,1139
相当,そうとう,1140
じゃないか,じゃないか,1141
言い方,いいかた,1142
関わる,かかわる,1143
さらに,さらに,1144
なんじゃ,なんじゃ,1145
っぽい,っぽい,1146
大した,たいした,1147
機会,きかい,1148
こうやって,こうやって,1149
静か,しずか,1150
内容,ないよう,1151
まさに,まさに,1152
おーい,おーい,1153
き,き,1154
運命,うんめい,1155
しゃべる,しゃべる,1156
その時,そのとき,1157
超える,こえる,1158
巻き込む,まきこむ,1159
発見,はっけん,1160
のみ,のみ,1161
タイプ,タイプ,1162
ふざける,ふざける,1163
耳,みみ,1164
警察,けいさつ,1165
頑張って,がんばって,1166
自ら,みずから,1167
どうか,どうか,1168
みたいな,みたいな,1169
気付く,きづく,1170
申し訳ない,もうしわけない,1171
減る,へる,1172
うまくいく,うまくいく,1173
遠慮,えんりょ,1174
通う,かよう,1176
お客さん,おきゃくさん,1177
いいこと,いいこと,1178
いよいよ,いよいよ,1179
激しい,はげしい,1180
練習,れんしゅう,1181
白い,しろい,1182
多く,おおく,1183
戻す,もどす,1184
雰囲気,ふんいき,1185
壊す,こわす,1186
疑う,うたがう,1187
雨,あめ,1188
荷物,にもつ,1189
お茶,おちゃ,1190
受け入れる,うけいれる,1191
真面目,まじめ,1192
いかが,いかが,1193
どっか,どっか,1194
倒す,たおす,1195
拾う,ひろう,1196
あいつら,あいつら,1197
さっきから,さっきから,1198
とはいえ,とはいえ,1199
無視,むし,1200
神,かみ,1201
世の中,よのなか,1202
有名,ゆうめい,1203
確かめる,たしかめる,1204
比べる,くらべる,1205
移動,いどう,1206
月,つき,1207
残り,のこり,1208
静かに,しずかに,1210
明るい,あかるい,1211
すでに,すでに,1212
態度,たいど,1213
やあ,やあ,1214
うわー,うわー,1215
限界,げんかい,1216
急いで,いそいで,1217
試す,ためす,1218
同士,どうし,1219
壊れる,こわれる,1220
集中,しゅうちゅう,1221
ずつ,ずつ,1222
どれだけ,どれだけ,1223
嫌う,きらう,1224
焦る,あせる,1225
改めて,あらためて,1226
二,に,1227
会社,かいしゃ,1228
部分,ぶぶん,1229
ではないか,ではないか,1230
撮る,とる,1231
おはようございます,おはようございます,1232
再び,ふたたび,1233
慌てる,あわてる,1234
例の,れいの,1235
努力,どりょく,1236
まとめる,まとめる,1237
今年,ことし,1238
部,ぶ,1239
最悪,さいあく,1240
繰り返す,くりかえす,1241
完璧,かんぺき,1242
帰り,かえり,1243
一部,いちぶ,1244
お店,おみせ,1246
解決,かいけつ,1247
涙,なみだ,1248
取り戻す,とりもどす,1249
怪しい,あやしい,1250
数,かず,1251
この先,このさき,1252
育てる,そだてる,1253
そちら,そちら,1254
熱,ねつ,1255
ついて,ついて,1256
数,すう,1258
名,めい,1259
褒める,ほめる,1260
わけにはいかない,わけにはいかない,1261
鍵,かぎ,1262
それじゃあ,それじゃあ,1263
大きくなる,おおきくなる,1264
野郎,やろう,1265
同時,どうじ,1266
とっても,とっても,1267
してい,してい,1268
会話,かいわ,1269
抜く,ぬく,1270
挨拶,あいさつ,1271
肉,にく,1272
息,いき,1273
により,により,1274
新た,あらた,1275
肩,かた,1276
ねぇ,ねぇ,1277
ヤツ,ヤツ,1278
味方,みかた,1279
いやあ,いやあ,1280
何度も,なんども,1281
そのうち,そのうち,1282
男性,だんせい,1283
例えば,たとえば,1284
抱える,かかえる,1285
もと,もと,1286
ごと,ごと,1287
得意,とくい,1288
罪,つみ,1289
だからこそ,だからこそ,1290
懐かしい,なつかしい,1291
だいぶ,だいぶ,1292
この世,このよ,1293
成長,せいちょう,1294
担当,たんとう,1295
適当,てきとう,1296
寒い,さむい,1297
その日,そのひ,1298
恐ろしい,おそろしい,1299
そのこと,そのこと,1301
できれば,できれば,1302
回す,まわす,1303
裏切る,うらぎる,1304
ような気がする,ようなきがする,1305
たぶん,たぶん,1306
従う,したがう,1307
騒ぐ,さわぐ,1308
重要,じゅうよう,1309
ありがたい,ありがたい,1310
早速,さっそく,1311
趣味,しゅみ,1312
影響,えいきょう,1313
意見,いけん,1314
それ以上,それいじょう,1315
了解,りょうかい,1316
確実,かくじつ,1317
距離,きょり,1318
犬,いぬ,1319
つつ,つつ,1320
きれる,きれる,1321
ついてくる,ついてくる,1322
殴る,なぐる,1323
何とか,なんとか,1324
思い出,おもいで,1325
こうして,こうして,1326
付き合う,つきあう,1327
あのね,あのね,1328
タイミング,タイミング,1329
お世話になる,おせわになる,1330
一切,いっさい,1331
文句,もんく,1332
られる,られる,1333
捕まえる,つかまえる,1334
悔しい,くやしい,1335
仕方ない,しかたない,1336
日々,ひび,1337
あんなに,あんなに,1338
というか,というか,1339
戦い,たたかい,1340
とおり,とおり,1341
洗う,あらう,1342
ほんと,ほんと,1343
並ぶ,ならぶ,1344
関する,かんする,1345
満足,まんぞく,1346
短い,みじかい,1347
もともと,もともと,1348
回,かい,1349
大体,だいたい,1350
多分,たぶん,1351
右,みぎ,1352
傷つける,きずつける,1353
第一,だいいち,1354
火,ひ,1355
役,やく,1356
低い,ひくい,1357
時に,ときに,1358
たる,たる,1359
万,まん,1360
出かける,でかける,1361
攻撃,こうげき,1362
握る,にぎる,1363
